	Gene.ID	Gene.Name	Bit.Score	Evalue_num
83	KH2012:KH.C1.1102	UTP23	199	3.3e-64
84	KH2012:KH.C1.1103	TVP23B	231	9.56e-78
85	KH2012:KH.C1.1104	POFUT2	431	1.11e-149
86	KH2012:KH.C1.1105	CTSD	390	9.58e-135
87	KH2012:KH.C1.1106	KLHDC1	134	2.53e-35
88	KH2012:KH.C1.1107	RIC8A	237	2.82e-71
89	KH2012:KH.C1.1108	NAT1	85.9	1.64e-19
90	KH2012:KH.C1.1109	MGAM2	42.7	0.001
91	KH2012:KH.C1.111	AGAP3	485	2.88e-160
92	KH2012:KH.C1.1110	BHMT	63.2	3.34e-11
93	KH2012:KH.C1.1112	DGUOK	213	2.1e-68
94	KH2012:KH.C1.1114	ACSS3	785	0
95	KH2012:KH.C1.1116	HAND2	64.3	3.32e-12
96	KH2012:KH.C1.1118	EFHD2	211	5.23e-69
97	KH2012:KH.C1.1119	STT3A	775	0
98	KH2012:KH.C1.112	RNF32	224	8.76e-72
99	KH2012:KH.C1.1120	MRPL28	188	7.11e-59
100	KH2012:KH.C1.1121	SULT1C2	133	1.26e-36
101	KH2012:KH.C1.1122	CYP2C8	262	9.14e-82
102	KH2012:KH.C1.1124	SLC6A14	682	0
103	KH2012:KH.C1.1125	ARRB1	403	4.03e-140
104	KH2012:KH.C1.1126	GLIPR2	70.1	4.05e-14
105	KH2012:KH.C1.1128	TEX36	72.4	3.65e-16
106	KH2012:KH.C1.1129	ODC1	450	8.37e-155
107	KH2012:KH.C1.113	MYBPC1	677	0
108	KH2012:KH.C1.1130	C12orf4	315	4.87e-101
109	KH2012:KH.C1.1131	CATIP	242	4.44e-77
110	KH2012:KH.C1.1133	ALKBH3	256	6.33e-85
111	KH2012:KH.C1.1134	GAS2	217	5.5e-69
112	KH2012:KH.C1.1135	ANAPC4	189	4.26e-51
113	KH2012:KH.C1.1136	C3orf38	125	8.32e-34
114	KH2012:KH.C1.1137	ADCK1	485	2.73e-167
115	KH2012:KH.C1.1138	TARS	1070	0
116	KH2012:KH.C1.1139	NXPE1	119	8.26e-29
117	KH2012:KH.C1.1140	ANKRD12	286	2.67e-79
118	KH2012:KH.C1.1142	ASTE1	81.6	4.42e-16
119	KH2012:KH.C1.1144	CENPN	62.0	1.03e-10
120	KH2012:KH.C1.1145	SCYL3	243	8.58e-70
121	KH2012:KH.C1.1146	SLC22A16	194	1.49e-54
122	KH2012:KH.C1.1147	NCSTN	329	1.71e-102
123	KH2012:KH.C1.1148	FUT6	136	1.74e-36
124	KH2012:KH.C1.115	RPS29	87.0	5.27e-25
125	KH2012:KH.C1.1150	NAAA	258	1.73e-83
126	KH2012:KH.C1.1151	RPA2	152	3.86e-44
127	KH2012:KH.C1.1155	MTX1	196	2.65e-59
128	KH2012:KH.C1.1156	OTOL1	126	7.15e-31
129	KH2012:KH.C1.1157	KCND1	724	0
130	KH2012:KH.C1.1159	FUT11	385	2.76e-130
131	KH2012:KH.C1.116	HCFC1	654	0
132	KH2012:KH.C1.1160	WDR48	762	0
133	KH2012:KH.C1.1161	SCN10A	974	0
134	KH2012:KH.C1.1165	DLL1	117	2.28e-27
135	KH2012:KH.C1.1167	SEL1L	672	0
136	KH2012:KH.C1.1168	NOL10	697	0
137	KH2012:KH.C1.1169	ABT1	154	3.91e-46
138	KH2012:KH.C1.117	FBXO32	160	4.36e-46
139	KH2012:KH.C1.1170	RHBDL2	226	6.97e-72
140	KH2012:KH.C1.1171	EFHD2	137	8.81e-42
141	KH2012:KH.C1.1172	CUEDC1	131	4.68e-35
142	KH2012:KH.C1.1174	IFI30	113	4.15e-30
143	KH2012:KH.C1.1176	ABRA	110	2.45e-29
144	KH2012:KH.C1.1177	STAU1	42.4	1.35e-05
145	KH2012:KH.C1.1178	TMEM209	300	1.27e-94
146	KH2012:KH.C1.1179	C3	232	5.07e-61
147	KH2012:KH.C1.118	SRRM4	40.8	8.89e-05
148	KH2012:KH.C1.1180	ARFGEF1	1757	0
149	KH2012:KH.C1.1181	HS3ST1	204	5.9e-64
150	KH2012:KH.C1.1182	RCC2	463	3.84e-160
151	KH2012:KH.C1.1184	MED4	162	5.62e-49
152	KH2012:KH.C1.1185	TCTEX1D2	53.1	2.55e-09
153	KH2012:KH.C1.1186	MYL1	160	6.51e-51
154	KH2012:KH.C1.1187	NUAK1	392	1.61e-127
155	KH2012:KH.C1.1188	KLHL3	144	3.93e-36
156	KH2012:KH.C1.1191	FUT5	125	1.13e-33
157	KH2012:KH.C1.1193	CLEC4F	52.8	1.2e-07
158	KH2012:KH.C1.1194	MAIP1	42.7	6.11e-05
159	KH2012:KH.C1.1195	SCYL2	788	0
160	KH2012:KH.C1.1197	PGS1	364	1.5e-120
161	KH2012:KH.C1.1198	NUS1	98.6	2.21e-24
162	KH2012:KH.C1.1199	PAQR3	231	2.54e-74
163	KH2012:KH.C1.12	CYP3A5	295	2.09e-94
164	KH2012:KH.C1.120	ACTA2	202	7.87e-66
165	KH2012:KH.C1.1202	DOCK10	922	0
166	KH2012:KH.C1.1203	SLC7A9	309	2.68e-100
167	KH2012:KH.C1.1205	AC012184.2	574	0
168	KH2012:KH.C1.1207	SFXN2	337	1.05e-115
169	KH2012:KH.C1.1208	C12orf56	91.7	2.05e-19
170	KH2012:KH.C1.121	FERMT2	289	1.31e-90
171	KH2012:KH.C1.1211	LAMA1	1909	0
172	KH2012:KH.C1.1212	DMBX1	109	4.22e-28
173	KH2012:KH.C1.1213	UVRAG	223	4.97e-63
174	KH2012:KH.C1.1216	IMP4	412	1.12e-146
175	KH2012:KH.C1.1217	SCRIB	71.2	8.29e-14
176	KH2012:KH.C1.1218	EFCAB6	155	1.37e-38
177	KH2012:KH.C1.1219	POLQ	761	0
178	KH2012:KH.C1.1220	SELP	90.9	3.4e-19
179	KH2012:KH.C1.1222	GPALPP1	151	1.94e-43
180	KH2012:KH.C1.1223	RMDN1	254	1.22e-83
181	KH2012:KH.C1.1224	P3H2	270	6.48e-80
182	KH2012:KH.C1.1226	FUCA1	522	0
183	KH2012:KH.C1.1227	BIRC2	127	3.89e-32
184	KH2012:KH.C1.1229	MRPL35	105	8.1e-28
185	KH2012:KH.C1.123	KLHL12	249	1.95e-75
186	KH2012:KH.C1.1231	GCC2	243	1.3e-64
187	KH2012:KH.C1.1232	GTF3A	152	5.71e-43
188	KH2012:KH.C1.1234	NR2C2AP	124	4.62e-37
189	KH2012:KH.C1.1235	ATG13	254	5.33e-77
190	KH2012:KH.C1.1236	RRAGA	539	0
191	KH2012:KH.C1.1237	ASNA1	338	2.31e-117
192	KH2012:KH.C1.1238	WDR33	602	0
193	KH2012:KH.C1.1239	GRN	319	1.11e-101
194	KH2012:KH.C1.124	MCM7	1025	0
195	KH2012:KH.C1.1240	KLHL20	195	5.06e-53
196	KH2012:KH.C1.1244	RTCA	425	1.01e-147
197	KH2012:KH.C1.1248	NME7	460	1.77e-162
198	KH2012:KH.C1.1249	SELENOI	334	1.09e-112
199	KH2012:KH.C1.125	CNR2	121	8.56e-31
200	KH2012:KH.C1.1250	SLC25A40	354	2.74e-122
201	KH2012:KH.C1.1251	ACBD6	188	5.28e-59
202	KH2012:KH.C1.1252	PIK3IP1	65.5	8.13e-12
203	KH2012:KH.C1.1254	GLRB	33.1	0.004
204	KH2012:KH.C1.1257	MRPS6	72.0	4.82e-17
205	KH2012:KH.C1.1258	B3GALT1	139	4.92e-38
206	KH2012:KH.C1.1259	PGAM5	250	7.13e-83
207	KH2012:KH.C1.1261	FTH1	58.2	5.55e-11
208	KH2012:KH.C1.1262	DIRC2	225	5.22e-68
209	KH2012:KH.C1.1265	TSPAN7	191	2.51e-60
210	KH2012:KH.C1.1267	RAD50	835	0
211	KH2012:KH.C1.1269	DUOXA1	179	1.14e-50
212	KH2012:KH.C1.127	LRRN1	211	3.93e-58
213	KH2012:KH.C1.1271	TFAP2E	150	1.17e-39
214	KH2012:KH.C1.1272	THAP9	114	4.94e-26
215	KH2012:KH.C1.1273	EZH1	689	0
216	KH2012:KH.C1.1274	MRPS11	96.3	7.07e-25
217	KH2012:KH.C1.1275	RUVBL1	791	0
218	KH2012:KH.C1.1276	CALM1	80.1	2.7e-18
219	KH2012:KH.C1.1277	HTRA1	313	4.41e-102
220	KH2012:KH.C1.1278	NSMCE1	141	6.86e-41
221	KH2012:KH.C1.1279	THSD7A	34.3	0.009
222	KH2012:KH.C1.1280	ADGRL3	105	8.71e-23
223	KH2012:KH.C1.1281	ARHGEF26	373	2.48e-119
224	KH2012:KH.C1.1284	SMIM15	58.2	4.67e-13
225	KH2012:KH.C1.1285	C1orf74	56.2	3.02e-09
226	KH2012:KH.C1.1286	CFAP52	805	0
227	KH2012:KH.C1.1287	COL24A1	286	3.33e-79
228	KH2012:KH.C1.1288	IFT57	480	4.36e-169
229	KH2012:KH.C1.1289	NTPCR	160	8.1e-49
230	KH2012:KH.C1.129	RHOB	173	2.43e-54
231	KH2012:KH.C1.1290	SHMT1	597	0
232	KH2012:KH.C1.1291	MMP16	299	2.39e-94
233	KH2012:KH.C1.1292	RANBP17	1024	0
234	KH2012:KH.C1.1293	MEGF6	592	0
235	KH2012:KH.C1.1294	LRP12	38.1	0.000592
236	KH2012:KH.C1.1296	PPP1R13B	355	1.12e-106
237	KH2012:KH.C1.1297	GTPBP4	834	0
238	KH2012:KH.C1.1299	HDLBP	1310	0
239	KH2012:KH.C1.13	SLC19A3	207	3.43e-63
240	KH2012:KH.C1.130	MKLN1	904	0
241	KH2012:KH.C1.1300	ICK	348	1.4e-110
242	KH2012:KH.C1.1302	COQ4	213	2.3e-69
243	KH2012:KH.C1.1304	FOXL2	180	5.3e-53
244	KH2012:KH.C1.133	CALU	325	1.74e-111
245	KH2012:KH.C1.135	SPG21	281	1.95e-94
246	KH2012:KH.C1.138	FAM155A	66.6	1.22e-11
247	KH2012:KH.C1.139	TSTD1	68.9	3.63e-16
248	KH2012:KH.C1.14	ARF6	166	4.29e-53
249	KH2012:KH.C1.141	TMEM68	298	8.41e-100
250	KH2012:KH.C1.142	RASSF9	77.0	2.52e-14
251	KH2012:KH.C1.143	TMEM187	45.4	1.08e-05
252	KH2012:KH.C1.144	KHDRBS3	165	5.16e-48
253	KH2012:KH.C1.145	DKC1	659	0
254	KH2012:KH.C1.146	EPHA4	901	0
255	KH2012:KH.C1.147	RNF17	75.9	2e-13
256	KH2012:KH.C1.149	RYK	418	1.19e-139
257	KH2012:KH.C1.15	GANAB	99.4	2.8e-21
258	KH2012:KH.C1.150	NAA10	285	3.75e-98
259	KH2012:KH.C1.151	FCGBP	47.4	7.86e-06
260	KH2012:KH.C1.152	METTL27	83.6	2.76e-19
261	KH2012:KH.C1.153	PIM3	377	1.02e-131
262	KH2012:KH.C1.158	GCLC	614	0
263	KH2012:KH.C1.159	HES1	82.0	2.4e-18
264	KH2012:KH.C1.16	SLC43A3	270	5.86e-85
265	KH2012:KH.C1.161	KANSL2	174	1.84e-45
266	KH2012:KH.C1.162	AGPS	808	0
267	KH2012:KH.C1.163	FRK	528	0
268	KH2012:KH.C1.164	MCPH1	129	1.49e-30
269	KH2012:KH.C1.165	VAMP3	132	7.42e-41
270	KH2012:KH.C1.167	MIEN1	42.4	1.11e-06
271	KH2012:KH.C1.168	TECTA	67.8	8.6e-12
272	KH2012:KH.C1.169	PAPD4	230	1.1e-67
273	KH2012:KH.C1.17	TRNAU1AP	223	1.29e-71
274	KH2012:KH.C1.170	SLC7A6	565	0
275	KH2012:KH.C1.171	SLC48A1	119	5.19e-35
276	KH2012:KH.C1.172	MPHOSPH10	235	6.64e-69
277	KH2012:KH.C1.173	TBL2	375	6.51e-127
278	KH2012:KH.C1.174	UST	200	5.9e-61
279	KH2012:KH.C1.175	KLRD1	44.7	1.45e-05
280	KH2012:KH.C1.177	TMCO3	436	1.38e-144
281	KH2012:KH.C1.178	SSU72	263	1.83e-90
282	KH2012:KH.C1.179	ABCF3	837	0
283	KH2012:KH.C1.18	GLIPR1	136	1.76e-37
284	KH2012:KH.C1.180	FAM13A	126	1.45e-29
285	KH2012:KH.C1.181	TECTA	71.2	5.97e-13
286	KH2012:KH.C1.183	UXS1	39.7	0.002
287	KH2012:KH.C1.184	FBN1	185	3.38e-51
288	KH2012:KH.C1.185	TRPT1	156	4.8e-43
289	KH2012:KH.C1.186	C1orf50	158	1.08e-49
290	KH2012:KH.C1.187	TNFAIP8	193	4.53e-63
291	KH2012:KH.C1.188	TFF1	37.4	0.003
292	KH2012:KH.C1.189	FOXRED2	538	0
293	KH2012:KH.C1.19	ANKMY2	277	3.87e-90
294	KH2012:KH.C1.190	ATG3	405	5.98e-143
295	KH2012:KH.C1.192	MGME1	156	1.04e-45
296	KH2012:KH.C1.194	POLR3H	310	6.34e-109
297	KH2012:KH.C1.195	CCDC62	198	1.4e-56
298	KH2012:KH.C1.196	ETV1	200	8.63e-56
299	KH2012:KH.C1.198	RERE	384	2.24e-112
300	KH2012:KH.C1.199	AP002748.4	529	0
301	KH2012:KH.C1.2	IMPDH1	811	0
302	KH2012:KH.C1.20	MYL1	162	2.78e-51
303	KH2012:KH.C1.200	FAM110B	53.9	2.97e-07
304	KH2012:KH.C1.201	SLC16A14	198	3.71e-57
305	KH2012:KH.C1.202	PRIM2	464	1.14e-159
306	KH2012:KH.C1.203	ZNF808	130	6.43e-31
307	KH2012:KH.C1.204	KCNB1	731	0
308	KH2012:KH.C1.206	ECE1	638	0
309	KH2012:KH.C1.207	TSPAN9	72.0	8.64e-15
310	KH2012:KH.C1.208	TEX14	239	1.8e-63
311	KH2012:KH.C1.209	MRPS22	196	2.48e-59
312	KH2012:KH.C1.21	ELOVL4	227	2.02e-73
313	KH2012:KH.C1.211	STX12	142	3e-41
314	KH2012:KH.C1.212	DPY19L1	634	0
315	KH2012:KH.C1.213	TSHR	110	1.23e-25
316	KH2012:KH.C1.214	NLRP3	97.4	1.22e-20
317	KH2012:KH.C1.215	ASIC1	494	3.99e-167
318	KH2012:KH.C1.216	MYL1	200	1.22e-66
319	KH2012:KH.C1.217	NSMCE4A	158	3.44e-45
320	KH2012:KH.C1.218	ILKAP	392	2.07e-135
321	KH2012:KH.C1.219	MBNL1	252	7.3e-78
322	KH2012:KH.C1.22	UBE2D4	207	5.93e-70
323	KH2012:KH.C1.220	MRPS25	129	4.59e-38
324	KH2012:KH.C1.221	RIPK1	48.5	4.13e-07
325	KH2012:KH.C1.222	AKR1C1	123	3.37e-31
326	KH2012:KH.C1.224	TBX20	348	8.9e-117
327	KH2012:KH.C1.225	SLC6A1	108	1.14e-24
328	KH2012:KH.C1.226	TMEM115	260	1.1e-84
329	KH2012:KH.C1.227	UQCC2	81.3	4.11e-21
330	KH2012:KH.C1.229	CPB1	338	9.53e-114
331	KH2012:KH.C1.23	GRHL1	427	4.15e-141
332	KH2012:KH.C1.230	SLC25A26	276	3.97e-93
333	KH2012:KH.C1.231	HSPA12A	644	0
334	KH2012:KH.C1.232	KCNA1	488	1.03e-167
335	KH2012:KH.C1.233	MRPS10	137	9.69e-41
336	KH2012:KH.C1.234	CLNS1A	107	9.87e-29
337	KH2012:KH.C1.235	NACA	214	1.39e-63
338	KH2012:KH.C1.236	CLEC17A	58.5	4.92e-10
339	KH2012:KH.C1.237	CYB561D2	155	2.72e-47
340	KH2012:KH.C1.239	UTP3	201	4.74e-59
341	KH2012:KH.C1.240	TACC3	102	2.96e-22
342	KH2012:KH.C1.241	VPS53	973	0
343	KH2012:KH.C1.242	ACTA1	766	0
344	KH2012:KH.C1.243	RPP21	86.7	2.7e-22
345	KH2012:KH.C1.244	COL4A2	615	0
346	KH2012:KH.C1.245	SAP30L	110	1.15e-31
347	KH2012:KH.C1.246	CYP20A1	187	6.73e-54
348	KH2012:KH.C1.247	SPEN	119	5.82e-26
349	KH2012:KH.C1.249	PRR11	71.2	4.1e-14
350	KH2012:KH.C1.250	STMND1	40.4	0.000539
351	KH2012:KH.C1.251	PPP2R1A	895	0
352	KH2012:KH.C1.252	CALU	267	1.08e-88
353	KH2012:KH.C1.255	SMUG1	261	4.76e-85
354	KH2012:KH.C1.256	PEBP1	163	1.05e-51
355	KH2012:KH.C1.257	SULT1C3	93.6	1.69e-23
356	KH2012:KH.C1.259	PSMB2	218	1.31e-72
357	KH2012:KH.C1.26	CREB1	190	2.1e-58
358	KH2012:KH.C1.260	IL17C	66.6	4.34e-14
359	KH2012:KH.C1.262	KRTCAP2	128	9.18e-39
360	KH2012:KH.C1.263	RPL4	139	3.4e-41
361	KH2012:KH.C1.264	YBX3	155	1.85e-44
362	KH2012:KH.C1.265	CKB	320	1.94e-107
363	KH2012:KH.C1.266	FOXRED2	567	0
364	KH2012:KH.C1.267	TAF3	129	1.5e-30
365	KH2012:KH.C1.268	DIO3	46.6	4.37e-07
366	KH2012:KH.C1.269	DNAJC3	457	1.4e-157
367	KH2012:KH.C1.27	CERS6	323	1.45e-108
368	KH2012:KH.C1.270	HEPH	351	1.27e-101
369	KH2012:KH.C1.272	SPO11	265	2.4e-85
370	KH2012:KH.C1.274	MYT1L	132	2.01e-31
371	KH2012:KH.C1.275	STAT5A	711	0
372	KH2012:KH.C1.276	C12orf66	151	6.89e-41
373	KH2012:KH.C1.277	ADGRE2	140	6.01e-34
374	KH2012:KH.C1.278	DNAH2	3355	0
375	KH2012:KH.C1.279	FBLN1	394	3.68e-120
376	KH2012:KH.C1.28	C8orf48	55.1	1.16e-09
377	KH2012:KH.C1.280	SLC25A29	295	5.62e-100
378	KH2012:KH.C1.281	ZNF830	105	5.73e-26
379	KH2012:KH.C1.282	INTU	338	3.39e-102
380	KH2012:KH.C1.284	TEX261	238	1.58e-80
381	KH2012:KH.C1.285	CKB	540	0
382	KH2012:KH.C1.286	RGS22	671	0
383	KH2012:KH.C1.287	EIF4A1	633	0
384	KH2012:KH.C1.288	COG7	531	6.3e-179
385	KH2012:KH.C1.289	DNAJC2	513	1.36e-176
386	KH2012:KH.C1.29	EIF4EBP1	37.4	0.001
387	KH2012:KH.C1.290	ABCC1	1618	0
388	KH2012:KH.C1.291	CSMD3	120	5.05e-30
389	KH2012:KH.C1.292	PPIG	282	2.19e-88
390	KH2012:KH.C1.296	RPL22	142	4.86e-45
391	KH2012:KH.C1.297	CDK2	263	3.61e-89
392	KH2012:KH.C1.298	BHMT	317	2.94e-106
393	KH2012:KH.C1.299	B3GNT2	230	2.58e-72
394	KH2012:KH.C1.30	JMJD6	57.4	4.56e-09
395	KH2012:KH.C1.301	HOMER2	259	3.22e-84
396	KH2012:KH.C1.302	TMPRSS3	191	1.79e-54
397	KH2012:KH.C1.303	DNAJB14	265	5.39e-86
398	KH2012:KH.C1.305	PLBD2	86.3	2.91e-20
399	KH2012:KH.C1.306	DEK	68.9	1.23e-12
400	KH2012:KH.C1.307	GLS	437	2.45e-147
401	KH2012:KH.C1.308	DUOXA1	169	1.13e-47
402	KH2012:KH.C1.309	SNF8	313	8.43e-109
403	KH2012:KH.C1.31	ARRDC3	181	2.02e-53
404	KH2012:KH.C1.310	EFCAB8	347	2.2e-102
405	KH2012:KH.C1.311	PSMD3	559	0
406	KH2012:KH.C1.312	FOXRED2	591	0
407	KH2012:KH.C1.314	RGS19	123	1.76e-33
408	KH2012:KH.C1.315	GHSR	86.3	1.02e-18
409	KH2012:KH.C1.316	SAXO1	40.4	0.002
410	KH2012:KH.C1.317	SPTLC2	671	0
411	KH2012:KH.C1.32	ZNF609	213	1.03e-55
412	KH2012:KH.C1.320	LETM1	434	8.32e-143
413	KH2012:KH.C1.321	CSMD1	233	2.3e-62
414	KH2012:KH.C1.322	NAT1	75.5	2.57e-15
415	KH2012:KH.C1.323	FRK	378	1.17e-127
416	KH2012:KH.C1.324	CDIPT	161	1.38e-49
417	KH2012:KH.C1.325	LRRC47	313	1.52e-99
418	KH2012:KH.C1.326	AMOTL1	84.0	2.63e-16
419	KH2012:KH.C1.328	MRPL52	62.0	1.71e-13
420	KH2012:KH.C1.329	RAN	372	1.38e-132
421	KH2012:KH.C1.330	SEPT2	37.7	0.01
422	KH2012:KH.C1.331	RNF115	60.5	9.93e-12
423	KH2012:KH.C1.332	ADGRB3	98.2	3.82e-21
424	KH2012:KH.C1.333	RPL19	272	5.09e-94
425	KH2012:KH.C1.334	DDX58	309	2.16e-90
426	KH2012:KH.C1.335	TMCC1	386	4.43e-126
427	KH2012:KH.C1.336	KIF3A	624	0
428	KH2012:KH.C1.337	AC243734.1	355	1.93e-118
429	KH2012:KH.C1.338	ARMC1	161	6.62e-48
430	KH2012:KH.C1.339	RASA2	547	0
431	KH2012:KH.C1.340	MMP16	404	4.75e-133
432	KH2012:KH.C1.341	POP1	183	2.07e-47
433	KH2012:KH.C1.344	S1PR3	65.9	1.87e-11
434	KH2012:KH.C1.345	PPP1R7	340	1.89e-116
435	KH2012:KH.C1.346	PROM1	290	8.97e-86
436	KH2012:KH.C1.347	SEC62	237	4e-75
437	KH2012:KH.C1.348	NUTF2	34.7	0.005
438	KH2012:KH.C1.349	HBS1L	639	0
439	KH2012:KH.C1.35	RAB7A	363	5.94e-130
440	KH2012:KH.C1.350	SIGMAR1	78.6	1.86e-17
441	KH2012:KH.C1.352	NAA38	91.3	6.56e-25
442	KH2012:KH.C1.355	NDUFS7	242	5.98e-81
443	KH2012:KH.C1.356	MATN3	184	4.66e-50
444	KH2012:KH.C1.358	SH3GLB1	385	4.53e-133
445	KH2012:KH.C1.359	ZFX	125	9.64e-30
446	KH2012:KH.C1.36	GSTM3	202	1.42e-65
447	KH2012:KH.C1.361	SULT6B1	134	1.81e-37
448	KH2012:KH.C1.362	PMVK	186	3.32e-60
449	KH2012:KH.C1.363	DDX39B	758	0
450	KH2012:KH.C1.367	SLC39A10	269	6.43e-80
451	KH2012:KH.C1.368	GRTP1	296	4.04e-99
452	KH2012:KH.C1.369	PKD1L2	43.9	4.26e-05
453	KH2012:KH.C1.37	SRMS	48.9	7.11e-07
454	KH2012:KH.C1.370	MALRD1	68.9	1.63e-12
455	KH2012:KH.C1.371	DTD2	174	2.52e-56
456	KH2012:KH.C1.372	SELL	48.5	2.14e-06
457	KH2012:KH.C1.374	WAS	272	2.15e-85
458	KH2012:KH.C1.376	ZBED4	84.0	6.67e-18
459	KH2012:KH.C1.377	EDC3	330	4.73e-108
460	KH2012:KH.C1.38	HOXD3	145	1.78e-37
461	KH2012:KH.C1.380	CHSY1	320	3.76e-97
462	KH2012:KH.C1.381	METTL27	90.5	5.64e-22
463	KH2012:KH.C1.382	CAB39	454	1.15e-161
464	KH2012:KH.C1.384	SF3B5	147	3.46e-48
465	KH2012:KH.C1.385	MSL2	125	6.54e-34
466	KH2012:KH.C1.386	CIB4	160	3.83e-50
467	KH2012:KH.C1.387	ATMIN	78.6	2.34e-15
468	KH2012:KH.C1.388	HNRNPK	210	2.83e-63
